date,result,opp,score,off_ppp,off_efg,off_to,off_or,off_ftr,def_ppp,def_efg,def_to,def_or,def_ftr,game_score,net,quad
Dec.  2,L,Georgia Tech,68-72,104.9,45.2,9.3,32.5,32.3,111,57.5,18.5,23.1,24.5,45.2,127,Quadrant 2
Jan.  2,W,Syracuse,86-66,116.5,59.3,14.9,16.7,30.5,89.4,47.3,23,19.4,30.9,95.6,84,Quadrant 3
Jan.  6,W,Notre Dame,67-59,96,42.4,15.8,24.4,35.6,84.5,43.2,20.1,26.8,27.1,82,124,Quadrant 2
Jan.  9,W,Pittsburgh,75-53,123.4,61.6,23,46.4,16.1,87.2,40.5,16.4,27.5,12.1,99.9,40,Quadrant 1
Jan. 13,W,Georgia Tech,84-79,120.9,50.8,5.8,27.5,44.4,113.7,64.5,20.1,19.2,21.8,66,127,Quadrant 3
Jan. 20,L,Pittsburgh,76-80,111,56.1,16.1,14.8,57.1,116.9,59.3,14.6,30,27.1,69.4,40,Quadrant 2
Jan. 23,W,Louisville,83-69,124,53.2,13.4,41.7,34.9,103.1,51,14.9,20,46.2,88.2,217,Quadrant 3
Jan. 27,W,Clemson,72-71,104.3,50,10.1,11.4,64.7,102.8,44.2,13,27.5,36.7,91.1,35,Quadrant 2
Jan. 29,W,Virginia Tech,77-67,119.9,63.4,21.8,38.5,17.9,104.3,50,6.2,12.5,20.7,96.5,60,Quadrant 1
Feb.  3,L,North Carolina,84-93,110.5,54.3,14.5,21.2,15.9,122.3,56.8,6.6,25,37.9,83.1,8,Quadrant 1
Feb.  7,W,Notre Dame,71-53,109.1,46.7,13.8,42.1,41.7,81.4,39.8,23.1,32.5,15.3,97.2,124,Quadrant 3
Feb. 10,W,Boston College,80-65,118.7,55.6,10.4,26.5,20.6,96.5,44.9,13.4,21.6,27.1,95.3,80,Quadrant 3
Feb. 12,W,Wake Forest,77-69,111.6,53.6,18.8,33.3,45.5,100,43.5,13,33.3,18.8,94,43,Quadrant 2
Feb. 17,W,Florida St.,76-67,112.8,55.4,25.2,45.5,35.7,99.5,52.6,20.8,30,19.3,94.2,96,Quadrant 2
Feb. 21,W,Miami FL,84-55,139.3,63.9,16.6,48.3,38.9,91.2,36.1,14.9,36.4,23,99.6,101,Quadrant 2
Feb. 24,L,Wake Forest,79-83,129.6,64.3,18,33.3,40.8,136.1,69.8,9.8,16.7,45.8,87,43,Quadrant 1
Feb. 28,W,Louisville,84-59,127.6,65.8,21.3,44.8,28.1,89.6,43.8,13.7,21.1,33.9,95,217,Quadrant 4
Mar.  2,W,Virginia,73-48,115,54.1,15.8,38.7,16.4,75.6,35.5,18.9,25,23.6,99.8,54,Quadrant 2
Mar.  4,W,North Carolina St.,79-64,134,53.7,8.5,51.4,13.2,108.5,50.9,17,43.3,25,96.7,63,Quadrant 1
Mar.  9,L,North Carolina,79-84,111.3,50.8,9.9,22.9,40,118.4,55.6,18.3,37.5,29,72.9,8,Quadrant 1
